object_id,museal_number,image_url,object_url,title,ethnic_group,year,collection_date_start,collection_date_end,latitude,longitude,event_ids,description,collectors_not_cleaned,comments,legend,text_on_object,tempel/ sign,references,event_names,related_objects,relation_type,<viited>,places_not_cleaned,material_not cleaned,material_cat_not_cleaned
625487,ERM B 188:11,http://opendata.muis.ee/media-list/625487,http://opendata.muis.ee/object/625487,käterätt,udmurdi,1989,1989-06-04,1989-06-12,,,"2254083, 2254092, 2254101, 5702817, 2254098, 4722081",,Aleksei Peterson,"Kogu etnograafilisi esemeid. Kogus ERM-i direktor Aleksei Peterson Udmurdi ANSV Izevski linn, Malaja Purga rajoonis 4.-12.VI. 1989.a. Kataloogis vanemteadur Medea Kõrv novembris 1990.a. Verif.: v.v.akt 1989:53; k/r 370.",,,,,koguja | valmistaja | valmistaja,,,,"Udmurdi ANSV, Izevski linn, Malaja Purga rajoon","lina, puuvill, vabrikupits (riidesort)",tekstiil
625488,ERM B 188:12,http://opendata.muis.ee/media-list/625488,http://opendata.muis.ee/object/625488,hobusekell,udmurdi,1989,1989-06-04,1989-06-12,,,"4722081, 4722116, 5736054, 4722113",Kella alaääre kumerusel tekst.,Aleksei Peterson,,,,,,,,,,"Udmurdi ANSV, Malaja Purga rajoon",pronks,metall
625489,ERM B 189:1,http://opendata.muis.ee/media-list/625489,http://opendata.muis.ee/object/625489,"peakate, naiste",ersa,1989,1989-07-04,1989-07-15,,,"4722514, 4722513, 5923568",,"Marika Mikkor, Riin Alatalu","Kogu ersa-mordva etnograafilisi esemeid. Kogunud ERM-i vanemteadur Marika Mikkor (B 189:1-99, 108-123) ja TÜ üliõpilane Riin Alatalu (B 189:100-107) Mordva ANSV Kotshkurovi raj. Sabajevo k. ja Dubjorki raj. Povodimovo k. ja Mihhailovka k. 4.-15.VII.1989.a. Katalooginud teadur H. Pärdi september-oktoober 1990.a. Verif.: v.v.akt 1989:76; k/r 369.",,,,,Temaatiline klassifikatsioon,,,,"Mordva ANSV, Kotshkurovi raj., Sabajevo k., Dubjorki raj., Povodimovo k., Mihhailovka k.",,tekstiil
625490,ERM B 189:2,http://opendata.muis.ee/media-list/625490,http://opendata.muis.ee/object/625490,pluuspõll,ersa,1989,1989-07-04,1989-07-15,,,"4722513, 5791162, 5791161, 4722514",,"Marika Mikkor, Riin Alatalu","Kogu ersa-mordva etnograafilisi esemeid. Kogunud ERM-i vanemteadur Marika Mikkor (B 189:1-99, 108-123) ja TÜ üliõpilane Riin Alatalu (B 189:100-107) Mordva ANSV Kotshkurovi raj. Sabajevo k. ja Dubjorki raj. Povodimovo k. ja Mihhailovka k. 4.-15.VII.1989.a. Katalooginud teadur H. Pärdi september-oktoober 1990.a. Verif.: v.v.akt 1989:76; k/r 369.",,,,,Temaatiline klassifikatsioon | <valmistamine/tekkimine>,,,,"Mordva ANSV, Kotshkurovi raj., Sabajevo k., Dubjorki raj., Povodimovo k., Mihhailovka k.",,tekstiil
625491,ERM B 189:3,http://opendata.muis.ee/media-list/625491,http://opendata.muis.ee/object/625491,põll,ersa,1989,1989-07-04,1989-07-15,,,"4722514, 4722513, 5923558",,"Marika Mikkor, Riin Alatalu","Kogu ersa-mordva etnograafilisi esemeid. Kogunud ERM-i vanemteadur Marika Mikkor (B 189:1-99, 108-123) ja TÜ üliõpilane Riin Alatalu (B 189:100-107) Mordva ANSV Kotshkurovi raj. Sabajevo k. ja Dubjorki raj. Povodimovo k. ja Mihhailovka k. 4.-15.VII.1989.a. Katalooginud teadur H. Pärdi september-oktoober 1990.a. Verif.: v.v.akt 1989:76; k/r 369.",,,,,Temaatiline klassifikatsioon,,,,"Mordva ANSV, Kotshkurovi raj., Sabajevo k., Dubjorki raj., Povodimovo k., Mihhailovka k.",,tekstiil
625492,ERM B 189:4,http://opendata.muis.ee/media-list/625492,http://opendata.muis.ee/object/625492,pühaserätik,ersa,1989,1989-07-04,1989-07-15,,,"4722513, 5923585, 4722514, 5923577",,"Marika Mikkor, Riin Alatalu","Kogu ersa-mordva etnograafilisi esemeid. Kogunud ERM-i vanemteadur Marika Mikkor (B 189:1-99, 108-123) ja TÜ üliõpilane Riin Alatalu (B 189:100-107) Mordva ANSV Kotshkurovi raj. Sabajevo k. ja Dubjorki raj. Povodimovo k. ja Mihhailovka k. 4.-15.VII.1989.a. Katalooginud teadur H. Pärdi september-oktoober 1990.a. Verif.: v.v.akt 1989:76; k/r 369.",,,,,,,,,"Mordva ANSV, Kotshkurovi raj., Sabajevo k., Dubjorki raj., Povodimovo k., Mihhailovka k.",,tekstiil
625493,ERM B 189:5,http://opendata.muis.ee/media-list/625493,http://opendata.muis.ee/object/625493,"särk, naiste",ersa,1989,1989-07-04,1989-07-15,,,"5923596, 4722513, 5923597, 4722514",,"Marika Mikkor, Riin Alatalu","Kogu ersa-mordva etnograafilisi esemeid. Kogunud ERM-i vanemteadur Marika Mikkor (B 189:1-99, 108-123) ja TÜ üliõpilane Riin Alatalu (B 189:100-107) Mordva ANSV Kotshkurovi raj. Sabajevo k. ja Dubjorki raj. Povodimovo k. ja Mihhailovka k. 4.-15.VII.1989.a. Katalooginud teadur H. Pärdi september-oktoober 1990.a. Verif.: v.v.akt 1989:76; k/r 369.",,,,,Temaatiline klassifikatsioon | Temaatiline klassifikatsioon,,,,"Mordva ANSV, Kotshkurovi raj., Sabajevo k., Dubjorki raj., Povodimovo k., Mihhailovka k.",,tekstiil
625494,ERM B 189:6,http://opendata.muis.ee/media-list/625494,http://opendata.muis.ee/object/625494,"rüü, naiste",ersa,1989,1989-07-04,1989-07-15,,,"4722513, 4722514",,"Marika Mikkor, Riin Alatalu","Kogu ersa-mordva etnograafilisi esemeid. Kogunud ERM-i vanemteadur Marika Mikkor (B 189:1-99, 108-123) ja TÜ üliõpilane Riin Alatalu (B 189:100-107) Mordva ANSV Kotshkurovi raj. Sabajevo k. ja Dubjorki raj. Povodimovo k. ja Mihhailovka k. 4.-15.VII.1989.a. Katalooginud teadur H. Pärdi september-oktoober 1990.a. Verif.: v.v.akt 1989:76; k/r 369.",,,,,,,,,"Mordva ANSV, Kotshkurovi raj., Sabajevo k., Dubjorki raj., Povodimovo k., Mihhailovka k.",,tekstiil
625495,ERM B 189:7,http://opendata.muis.ee/media-list/625495,http://opendata.muis.ee/object/625495,"peakate, naiste",ersa,1989,1989-07-04,1989-07-15,,,"4722513, 4722514",,"Marika Mikkor, Riin Alatalu","Kogu ersa-mordva etnograafilisi esemeid. Kogunud ERM-i vanemteadur Marika Mikkor (B 189:1-99, 108-123) ja TÜ üliõpilane Riin Alatalu (B 189:100-107) Mordva ANSV Kotshkurovi raj. Sabajevo k. ja Dubjorki raj. Povodimovo k. ja Mihhailovka k. 4.-15.VII.1989.a. Katalooginud teadur H. Pärdi september-oktoober 1990.a. Verif.: v.v.akt 1989:76; k/r 369.",,,,,,,,,"Mordva ANSV, Kotshkurovi raj., Sabajevo k., Dubjorki raj., Povodimovo k., Mihhailovka k.",,tekstiil
625496,ERM B 189:8,http://opendata.muis.ee/media-list/625496,http://opendata.muis.ee/object/625496,põll,ersa,1989,1989-07-04,1989-07-15,,,"4722514, 5925734, 4722513",,"Marika Mikkor, Riin Alatalu","Kogu ersa-mordva etnograafilisi esemeid. Kogunud ERM-i vanemteadur Marika Mikkor (B 189:1-99, 108-123) ja TÜ üliõpilane Riin Alatalu (B 189:100-107) Mordva ANSV Kotshkurovi raj. Sabajevo k. ja Dubjorki raj. Povodimovo k. ja Mihhailovka k. 4.-15.VII.1989.a. Katalooginud teadur H. Pärdi september-oktoober 1990.a. Verif.: v.v.akt 1989:76; k/r 369.",,,,,Temaatiline klassifikatsioon,,,,"Mordva ANSV, Kotshkurovi raj., Sabajevo k., Dubjorki raj., Povodimovo k., Mihhailovka k.",,tekstiil
625497,ERM B 189:9,http://opendata.muis.ee/media-list/625497,http://opendata.muis.ee/object/625497,värten,ersa,1989,1989-07-04,1989-07-15,,,"4722513, 4722528, 4722514, 4722545, 5736055",,"Marika Mikkor, Riin Alatalu",,,,,,valmistamine,,,,"Mordva ANSV, Kotshkurovi raj., Sabajevo k., Dubjorki raj., Povodimovo k., Mihhailovka k.",kask,puit
625498,ERM B 189:10,http://opendata.muis.ee/media-list/625498,http://opendata.muis.ee/object/625498,kanepikamm,ersa,1989,1989-07-04,1989-07-15,,,"4722548, 4722561, 5742851, 4722513, 4722552, 4722554, 4722514",,"Marika Mikkor, Riin Alatalu",,"Sellega kammisid vanad naised saunas ka pead, kamme siis polnud.",,,,laat-/turukaubandus | valmistamine,,,,Sabajevo küla; Kotškurovo rajoon; Mordva ANSV,kask,puit
625499,ERM B 189:11/ab,http://opendata.muis.ee/media-list/625499,http://opendata.muis.ee/object/625499,rüü tikand,ersa,1989,1989-07-04,1989-07-15,,,"4722514, 4722513",,"Marika Mikkor, Riin Alatalu","Kogu ersa-mordva etnograafilisi esemeid. Kogunud ERM-i vanemteadur Marika Mikkor (B 189:1-99, 108-123) ja TÜ üliõpilane Riin Alatalu (B 189:100-107) Mordva ANSV Kotshkurovi raj. Sabajevo k. ja Dubjorki raj. Povodimovo k. ja Mihhailovka k. 4.-15.VII.1989.a. Katalooginud teadur H. Pärdi september-oktoober 1990.a. Verif.: v.v.akt 1989:76; k/r 369.",,,,,,,,,Sabajevo küla; Kotškurovo rajoon; Mordva ANSV,,tekstiil
625500,ERM B 189:12,http://opendata.muis.ee/media-list/625500,http://opendata.muis.ee/object/625500,lusikas,ersa,1989,1989-07-04,1989-07-15,,,"4722583, 4722513, 4722514, 4722587, 5741170",,"Marika Mikkor, Riin Alatalu",,,,,,valmistamine,,,,Sabajevo küla; Kotškurovo rajoon; Mordva ANSV,lehtpuit,puit
