object_id,museaali_number,eseme_nimi,material,material_category
526581,ERM B 226:13,riiulikardin,segakiud,tekstiil
526581,ERM B 226:13,riiulikardin,kanvaa,tekstiil
526581,ERM B 226:13,riiulikardin,,tekstiil
526675,ERM B 218:1,jooginõu,vask,metall
526676,ERM B 218:2,heina kokkutõmbamise rõngas,puit,puit
526677,ERM B 218:3,jooginõu,vask,metall
526678,ERM B 218:4/ab,"suss-saapad, jahimehe",nahk,nahk
526678,ERM B 218:4/ab,"suss-saapad, jahimehe",põhjapõder,nahk
526679,ERM B 218:5/ab,kätepesunõu,hõbe,metall
526679,ERM B 218:5/ab,kätepesunõu,vask,metall
526680,ERM B 218:6,kauss,puit,puit
526680,ERM B 218:6,kauss,,puit
526681,ERM B 218:7/a1-2 b1-2,"saapad, meeste",kalev (riidesort),tekstiil
526681,ERM B 218:7/a1-2 b1-2,"saapad, meeste",nahk,tekstiil
526681,ERM B 218:7/a1-2 b1-2,"saapad, meeste",puuvill,tekstiil
526681,ERM B 218:7/a1-2 b1-2,"saapad, meeste",sidumisnöör,tekstiil
526681,ERM B 218:7/a1-2 b1-2,"saapad, meeste",vill,tekstiil
526681,ERM B 218:7/a1-2 b1-2,"saapad, meeste",,tekstiil
526682,ERM B 218:8/ab,"kingad, naiste",kalev (riidesort),tekstiil
526682,ERM B 218:8/ab,"kingad, naiste",,tekstiil
526682,ERM B 218:8/ab,"kingad, naiste",lõng,tekstiil
526682,ERM B 218:8/ab,"kingad, naiste",nahk,tekstiil
526682,ERM B 218:8/ab,"kingad, naiste",,tekstiil
526682,ERM B 218:8/ab,"kingad, naiste",vill,tekstiil
526682,ERM B 218:8/ab,"kingad, naiste",vilt,tekstiil
526683,ERM B 222:15/ab,"saapad, naiste",metall,nahk
526683,ERM B 222:15/ab,"saapad, naiste",nahk,nahk
526683,ERM B 222:15/ab,"saapad, naiste",,nahk
526684,ERM B 222:16,nõu,toht,puit
526685,ERM B 222:17,seelik,puuvill,tekstiil
526689,ERM B 222:18,seelik,,tekstiil
526689,ERM B 222:18,seelik,puuvill,tekstiil
526690,ERM B 222:19,koonlapuu,puit,puit
526691,ERM B 222:20,toidu segamise vahend,puit,puit
526692,ERM B 222:21,kulp,puit,puit
526692,ERM B 222:21,kulp,,puit
526692,ERM B 222:21,kulp,toht,puit
526693,ERM B 222:22,suveniir-kalender,kasetoht,puit
526693,ERM B 222:22,suveniir-kalender,nahk,nahk
526693,ERM B 222:22,suveniir-kalender,kask,puit
526694,ERM B 224:1,"nõu, kasetohust",kask,puit
526694,ERM B 224:1,"nõu, kasetohust",puit,puit
526694,ERM B 224:1,"nõu, kasetohust",,puit
526694,ERM B 224:1,"nõu, kasetohust",toht,puit
526695,ERM B 224:2,vahukulp,puit,puit
526696,ERM B 224:3,kedervars,puit,puit
526697,ERM B 224:4,võrguujuk,puit,puit
526698,ERM B 224:5,võrguujuk,puit,puit
526699,ERM B 224:6,sarafan,damast (riidesort),tekstiil
526880,ERM B 215:1,kleit,tikand,tekstiil
526880,ERM B 215:1,kleit,puuvill,tekstiil
526881,ERM B 215:2,põll,atlasriie,tekstiil
526881,ERM B 215:2,põll,puuvill,tekstiil
526884,ERM B 215:5,rüü,linane,tekstiil
526884,ERM B 215:5,rüü,,tekstiil
526884,ERM B 215:5,rüü,,tekstiil
526884,ERM B 215:5,rüü,,tekstiil
526884,ERM B 215:5,rüü,kodukootud kangas,tekstiil
