object_id,museaali_number,eseme_nimi,material,material_category
526885,ERM B 215:6,kleit,linane,tekstiil
526885,ERM B 215:6,kleit,,tekstiil
526885,ERM B 215:6,kleit,,tekstiil
526885,ERM B 215:6,kleit,,tekstiil
526885,ERM B 215:6,kleit,,tekstiil
526886,ERM B 215:7,põll,lina,tekstiil
526886,ERM B 215:7,põll,vill,tekstiil
526991,ERM B 223:1/1-6,"nukk, matrjoška",lehtpuu,puit
527010,ERM B 218:9/ab,"kingad, naiste",kalev (riidesort),nahk
527010,ERM B 218:9/ab,"kingad, naiste",nahk,nahk
527010,ERM B 218:9/ab,"kingad, naiste",vill,nahk
527010,ERM B 218:9/ab,"kingad, naiste",vilt,nahk
527010,ERM B 218:9/ab,"kingad, naiste",,nahk
527011,ERM B 218:10/ab,vakk,puit,puit
527012,ERM B 218:11,märss,kask,puit
527012,ERM B 218:11,märss,puuvill,tekstiil
527012,ERM B 218:11,märss,rihm,puit
527013,ERM B 218:12,soolanõu,juured,puit
527013,ERM B 218:12,soolanõu,puit,puit
527014,ERM B 218:13,kauss,puit,puit
527015,ERM B 218:14,lusikas,puit,puit
527016,ERM B 218:15,"aluspesu, alussärk",lina,tekstiil
527016,ERM B 218:15,"aluspesu, alussärk",puuvill,tekstiil
527017,ERM B 218:16/ab,kindad,hüljes,nahk
527017,ERM B 218:16/ab,kindad,nahk,nahk
527017,ERM B 218:16/ab,kindad,,nahk
527017,ERM B 218:16/ab,kindad,,nahk
527018,ERM B 218:17/ab,vakk,puit,puit
527019,ERM B 218:18,kauss,puit,puit
527020,ERM B 218:19,"kast, laastudest",laast,puit
527020,ERM B 218:19,"kast, laastudest",pärn,puit
527021,ERM B 218:20,kauss,puit,puit
527022,ERM B 218:21,kelluke,metall,metall
527022,ERM B 218:21,kelluke,pael,metall
527022,ERM B 218:21,kelluke,puuvill,metall
527022,ERM B 218:21,kelluke,traat,metall
527022,ERM B 218:21,kelluke,vask,metall
527023,ERM B 224:7,kauss,puit,puit
527024,ERM B 224:8,"sirutusraam, sokkide",puit,puit
527025,ERM B 224:9,vaalikurikas,puit,puit
527026,ERM B 224:10,vahukulp,puit,puit
527027,ERM B 224:11,võrguhui,lina,puit
527027,ERM B 224:11,võrguhui,niit,puit
527027,ERM B 224:11,võrguhui,puit,puit
527028,ERM B 224:12,jahipaelte hoidmise riist,puit,puit
527028,ERM B 224:12,jahipaelte hoidmise riist,sünteetika,tekstiil
527028,ERM B 224:12,jahipaelte hoidmise riist,tehismaterjal,plastik
527029,ERM B 220:1,sarafan,,tekstiil
527029,ERM B 220:1,sarafan,lina,tekstiil
527029,ERM B 220:1,sarafan,nööp,tekstiil
527029,ERM B 220:1,sarafan,puuvill,tekstiil
527029,ERM B 220:1,sarafan,vask,tekstiil
527030,ERM B 220:2,höövel,puit,puit
527030,ERM B 220:2,höövel,raud,puit
527031,ERM B 220:3,soolavakk,kasetoht,puit
527031,ERM B 220:3,soolavakk,kask,puit
527031,ERM B 220:3,soolavakk,puit,puit
527031,ERM B 220:3,soolavakk,,puit
527031,ERM B 220:3,soolavakk,,puit
527032,ERM B 220:4,peahari,harjas,nahk
527032,ERM B 220:4,peahari,lina,nahk
527032,ERM B 220:4,peahari,siga,nahk
527033,ERM B 220:5,taldrik,vask,metall
527034,ERM B 220:6,kauss,savi,keraamika
527035,ERM B 220:7,jooginõu,puit,puit
527036,ERM B 220:8,triikraud,puit,metall
527036,ERM B 220:8,triikraud,raud,metall
527037,ERM B 220:9,potialus,raud,metall
527038,ERM B 220:10,jooginõu,vask,metall
527039,ERM B 220:11,liud,puit,puit
530016,ERM B 227:1/ab,kindad,lõng,tekstiil
530016,ERM B 227:1/ab,kindad,lõng,tekstiil
530016,ERM B 227:1/ab,kindad,vill,tekstiil
545845,ERM B 228:1,"jakk, naiste",samet,tekstiil
545845,ERM B 228:1,"jakk, naiste",,tekstiil
545845,ERM B 228:1,"jakk, naiste",samet,tekstiil
545846,ERM B 228:2,"vest, naiste",kalev (riidesort),tekstiil
545846,ERM B 228:2,"vest, naiste",,tekstiil
545846,ERM B 228:2,"vest, naiste",niit,tekstiil
