object_id,best_place,place_precision,country,region,region_est,region_eng,rajon,rajon_est,rajon_eng,village,lat,lon,has_coordinates,koht,modern_region_est,modern_region_eng,modern_rajon_est,modern_rajon_eng,normalization_status,normalization_note,normalization_source,map_precision,lookup_id
521373,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,valmis,lookup:PL0186,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0186
521374,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Kulomi rajoon,Ust-Kulomsky District,valmis,lookup:PL0186,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0186
521375,Rimja küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Võmi rajoon,Ust-Võmi rajoon,Ust-Võmi rajoon,Rimja küla,384.0,,False,Rimja küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Võmi rajoon,Ust-Vymsky District,valmis,lookup:PL0283,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0283
521376,Rimja küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Võmi rajoon,Ust-Võmi rajoon,Ust-Võmi rajoon,Rimja küla,384.0,,False,Rimja küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Võmi rajoon,Ust-Vymsky District,valmis,lookup:PL0283,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0283
521377,Rimja küla,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Võmi rajoon,Ust-Võmi rajoon,Ust-Võmi rajoon,Rimja küla,384.0,,False,Rimja küla; Ust-Võmi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Võmi rajoon,Ust-Vymsky District,valmis,lookup:PL0283,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0283
521378,Ust-Kulomi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi rajoon,Ust-Kulomi rajoon,,,,False,Ust-Kulomi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,,,valmis,lookup:PL0199,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,region,PL0199
521379,Gami külakond,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Võmi rajoon,Ust-Võmi rajoon,Ust-Võmi rajoon,Gami küla,418.0,,False,Gami külakond; Ust-Võmi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Võmi rajoon,Ust-Vymsky District,valmis,lookup:PL0588,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0588
521380,Ust-Võmi rajoon,rajoon,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Võmi rajoon,Ust-Võmi rajoon,Ust-Võmi rajoon,,,,False,Ust-Võmi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Võmi rajoon,Ust-Vymsky District,valmis,lookup:PL1269,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL1269
521381,Gami külakond,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Võmi rajoon,Ust-Võmi rajoon,Ust-Võmi rajoon,Gami küla,418.0,,False,Gami külakond; Ust-Võmi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Võmi rajoon,Ust-Vymsky District,valmis,lookup:PL0588,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0588
521382,Gami külakond,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Võmi rajoon,Ust-Võmi rajoon,Ust-Võmi rajoon,Gami küla,418.0,,False,Gami külakond; Ust-Võmi rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Võmi rajoon,Ust-Vymsky District,valmis,lookup:PL0588,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0588
521383,Gami administratiivne üksus,küla,Venemaa,Komi ANSV,Komi ANSV,Komi ANSV,Ust-Võmi rajoon,Ust-Võmi rajoon,Ust-Võmi rajoon,Gami küla,449.0,,False,Gami administratiivne üksus; Ust-Võm rajoon; Komi Vabariik; Venemaa,Komi Vabariik,Komi Republic,Ust-Võmi rajoon,Ust-Vymsky District,valmis,lookup:PL0942,https://en.wikipedia.org/wiki/List_of_districts_in_Russia,district,PL0942
