object_id,material,material_category
612361,kask,puit
612362,mänd,puit
612363,toht,puit
612364,kuusk,puit
612366,lehm,luu
612366,luu,luu
612366,niit,luu
612366,puuvill,luu
612367,plast,plastik
612368,plast,plastik
612369,plast,plastik
612370,õunapuu,puit
612400,kapron,tekstiil
612400,litrid,tekstiil
612400,pael,tekstiil
612400,puuvillane,tekstiil
612400,satään (riidesort),tekstiil
612400,sünteetika,tekstiil
612400,vask,tekstiil
612403,lepp,puit
612403,mänd,puit
612404,lina,puit
612404,metall,puit
612404,niit,puit
612404,plast,puit
612404,sanga ümbris,puit
612404,toht,puit
612404,traat,puit
612405,lehtpuu,puit
612411,metall,metall
612412,niin,puit
612412,tekstiil,puit
612412,toht,puit
612413,niin,puit
612414,puit,puit
612415,lehtpuu,puit
612416,okaspuit,puit
612417,lehtpuu,puit
612419,metall,metall
612419,mänd,metall
612419,traat,metall
612420,savi,keraamika
612421,kask,puit
612421,rullid,puit
612421,saar,puit
612422,raud,metall
612423,raud,metall
612424,savi,keraamika
612425,kask,puit
612425,küljelaud,puit
612425,mänd,puit
612425,okaspuit,puit
612425,,puit
612425,voodi otsad,puit
612426,vask,metall
612427,jõhv,tekstiil
612427,kask,puit
612427,nahk,puit
612428,kask,puit
612428,kuusk,puit
612428,metall,puit
612428,saar,puit
612428,vars,puit
612429,mänd,puit
612430,kuusk,puit
612431,kask,puit
612432,raud,metall
612433,raud,metall
612434,kask,puit
612435,kuusk,puit
612436,kask,puit
612437,kuusk,puit
612438,raud,metall
612438,saar,puit
612439,savi,keraamika
612440,kask,puit
612441,kuusk,puit
612442,linane,tekstiil
612442,nöör,tekstiil
612442,raud,metall
612442,õngekonks,metall
612443,raud,metall
612444,mänd,puit
612445,kuusk,puit
612446,kuusk,puit
612446,paju,puit
612446,raud,puit
612447,kast,puit
612447,kraas,puit
612447,kuusk,puit
612447,metall,puit
612447,mänd,puit
612447,nahk,puit
612448,kask,puit
612449,,puit
612449,kuusk,puit
612449,lauad,puit
612449,mänd,puit
612450,raud,metall
612451,lehtpuu,puit
612452,mänd,puit
612453,okaspuit,puit
612453,raud,puit
612454,kuusk,puit
612454,saar,puit
612455,kuusk,puit
612456,kask,puit
612456,kuusk,puit
612456,,puit
612457,linane,tekstiil
612458,kant,tekstiil
612458,linane,tekstiil
612458,puuvillane,tekstiil
612458,riie,tekstiil
612458,trükitud,tekstiil
612459,geomeetriline muster,tekstiil
612459,linane,tekstiil
612459,puuvillane,tekstiil
612459,riie,tekstiil
612459,villane,tekstiil
612461,lina,tekstiil
612461,puuvill,tekstiil
612461,vill,tekstiil
612462,lina,tekstiil
612462,vill,tekstiil
612464,linane,tekstiil
612464,värviline lõng,tekstiil
612464,pael,tekstiil
612464,hallikas-valge,tekstiil
612464,pits,tekstiil
612464,,tekstiil
612464,poeriie,tekstiil
612464,puuvillane,tekstiil
612464,riie,tekstiil
612464,siid,tekstiil
612464,villane,tekstiil
612464,villane,tekstiil
612468,kude,tekstiil
612468,puuvillane,tekstiil
612468,lõim,tekstiil
612468,villane,tekstiil
612469,tekstiil,tekstiil
612471,niin,puit
612473,kask,puit
612493,lõng,tekstiil
612493,metall,tekstiil
612493,nööp,tekstiil
612493,pärlid,tekstiil
612493,villane,tekstiil
612494,villane,tekstiil
612500,hõbe,metall
612500,klaas,klaas
612500,münt,metall
612501,kanep,tekstiil
612501,kodukootud kangas,tekstiil
612502,kanep,tekstiil
612502,riie,tekstiil
612502,kodukootud kangas,tekstiil
612503,kanep,tekstiil
612503,riie,tekstiil
612503,kodukootud kangas,tekstiil
612504,kanep,tekstiil
612504,must niit,tekstiil
612504,punane,tekstiil
612504,lõng,tekstiil
612504,puuvillane,tekstiil
612504,riie,tekstiil
612504,kodukootud kangas,tekstiil
612504,villane,tekstiil
612505,kanep,tekstiil
612505,must niit,tekstiil
612505,punane,tekstiil
612505,,tekstiil
612505,roheline,tekstiil
612505,lilla,tekstiil
612505,roosa lõng,tekstiil
612505,puuvillane,tekstiil
612505,riie,tekstiil
612505,kodukootud kangas,tekstiil
612505,villane,tekstiil
612506,kanep,tekstiil
612506,kangas,tekstiil
612506,lõng,tekstiil
612506,niit,tekstiil
612506,pael,tekstiil
612506,puuvillane,tekstiil
612506,villane,tekstiil
612507,hõbe,metall
612508,kanep,tekstiil
612508,kangas,tekstiil
612508,niit,tekstiil
612508,pael,tekstiil
612508,puuvillane,tekstiil
612508,villane,tekstiil
612509,kanep,tekstiil
612509,kangas,tekstiil
612509,labane villane,tekstiil
612509,lõng,tekstiil
612509,niit,tekstiil
612509,pael,tekstiil
612509,puuvillane,tekstiil
612509,villane,tekstiil
612510,lõng,tekstiil
612510,pits,tekstiil
612510,puuvillane,tekstiil
612510,villane,tekstiil
612511,kanep,tekstiil
612511,labane kangas,tekstiil
612511,lõng,tekstiil
612511,niit,tekstiil
612511,puuvillane,tekstiil
612511,villane,tekstiil
612512,toht,puit
612513,pärn,puit
612514,pärn,puit
612515,kanep,tekstiil
612516,hõbe,metall
612516,kett,metall
612516,münt,metall
612516,valge metall,metall
612517,hõbe,metall
612517,must riie,metall
612517,tekstiil,metall
612518,kude,tekstiil
612518,lõim,tekstiil
612518,puuvillane,tekstiil
612519,labane kangas,tekstiil
612519,niit,tekstiil
612519,puuvillane,tekstiil
612520,atlasriie,tekstiil
612520,labane kangas,tekstiil
612520,mulinee,tekstiil
612520,pael,tekstiil
612520,puuvillane,tekstiil
612520,siid,tekstiil
612520,vooder,tekstiil
612521,vooder,tekstiil
612521,labane kangas,tekstiil
612521,mulinee,tekstiil
612521,puuvillane,tekstiil
612521,tikand,tekstiil
612522,raud,metall
612523,konks,metall
612523,paju,puit
612523,raskus,metall
612523,raud,metall
612523,tamiil,plastik
612523,tehismaterjal,plastik
612523,tina,metall
612523,traat,metall
612523,vask,metall
612524,kask,puit
612525,puit,puit
612525,toht,puit
612527,vask,metall
612528,peenvillane,tekstiil
612528,riie,tekstiil
612528,siid,tekstiil
612528,villane,tekstiil
612529,klaas,klaas
612531,lina,tekstiil
612533,kask,puit
612533,raud,metall
612534,kask,puit
612534,raud,puit
612535,kask,puit
612536,raud,metall
612537,raud,metall
612538,raud,metall
612539,kask,metall
612539,käepide,metall
612539,raud,metall
612540,metall,metall
612540,raud,metall
612540,raudplekk,metall
612540,rõngas,metall
612541,kask,puit
612541,pakk,puit
612541,pulgad,puit
612541,õunapuu,puit
612543,puuvill,tekstiil
612544,mänd,puit
612550,kaas,puit
612550,kadakas,puit
612550,kask,puit
612550,kuusk,puit
612550,vits,puit
612553,raud,metall
612555,kadakas,puit
612555,kuusk,puit
612555,vits,puit
612556,metall,metall
612556,raud,metall
612556,raudplekk,metall
612556,rõngas,metall
612557,aas,metall
612557,metall,metall
612557,nahk,metall
612557,raud,metall
612557,raudplekk,metall
612557,rihm,metall
612558,raud,metall
612560,puit,puit
612562,kask,puit
612562,kiil,puit
612562,kuusk,puit
612562,sambad,puit
612562,treipulk,puit
612563,kask,puit
612564,kask,puit
612564,pakk,puit
612564,raud,metall
612565,lina,puit
612565,mänd,puit
612566,lina,tekstiil
612566,puuvill,tekstiil
612567,kask,puit
612568,kask,puit
612569,kask,puit
612570,kask,puit
612570,kolk,puit
612570,kuusk,puit
612570,nahk,puit
612570,rihm,puit
612570,vars,puit
612571,harjas,nahk
612571,kask,puit
612571,metall,metall
612571,traat,metall
612599,pärn,puit
612599,,puit
612599,toht,puit
612600,kask,puit
612601,kasetoht,puit
612601,pärn,puit
612601,,puit
612601,toht,puit
612601,traat,puit
612601,vask,puit
612602,metall,puit
612602,pärn,puit
612602,traat,puit
612603,kasetoht,puit
612603,pärn,puit
612603,,puit
612603,toht,puit
612604,kask,puit
612605,haab,puit
612605,kuusk,puit
612605,otsalauad,puit
612606,niin,puit
612606,pärn,puit
612608,kanep,tekstiil
612608,punane kude,tekstiil
612608,sinine ja valge,tekstiil
612608,lõim,tekstiil
612609,kask,puit
612609,kuusk,puit
612609,poolivarras,puit
612611,pärn,puit
612613,linane,tekstiil
612613,ruuduline: valge-punane,tekstiil
612615,kanep,tekstiil
612615,looduslik kiud,tekstiil
612616,labane kangas,tekstiil
612616,linane,tekstiil
612617,metall,puit
612617,nahk,puit
612617,niin,puit
612617,pannal,puit
612617,pärn,puit
612617,rihm,puit
612617,pael,puit
612617,aas,puit
612618,niin,puit
612618,pärn,puit
612618,,puit
612618,toht,puit
612619,toht,puit
612620,juured,puit
612620,lehtpuu,puit
612620,traat,puit
612620,vask,puit
612621,kask,puit
612622,lina,tekstiil
612622,mänd,puit
612622,nöör,tekstiil
612623,kask,puit
612623,kuusk,puit
612623,peeled,puit
612623,piid,puit
612623,pärn,puit
612623,sõlg,puit
612623,vaher,puit
612624,niin,puit
612624,pärn,puit
612625,lina,tekstiil
612625,nahk,nahk
612625,niit,tekstiil
612625,pärn,puit
612625,nahk,nahk
612625,toht,puit
612627,kask,puit
612627,kuusk,puit
612627,lauad,puit
612627,ots,puit
612628,kaare ülaosa,puit
612628,kuusk,puit
612628,lehtpuu,puit
612628,niin,puit
612628,nöör,puit
612628,pärn,puit
612628,,puit
612628,pärn,puit
612628,raam,puit
612628,toht,puit
612629,haab,puit
612630,lehtpuu,puit
612631,lina,tekstiil
612631,niin,puit
612631,pullud,puit
612631,raskuskivid,kivim
612631,savi,keraamika
612631,selis,puit
612631,toht,puit
612632,lina,tekstiil
612632,puuvill,tekstiil
612634,kuusk,puit
612635,haab,puit
612636,haab,puit
612636,piid,puit
612636,raam,puit
612636,vaher,puit
612637,puit,puit
612638,haab,puit
612639,haab,puit
612640,lina,tekstiil
612640,puuvill,tekstiil
612641,lina,tekstiil
612642,lina,tekstiil
612642,puuvill,tekstiil
612645,haak,tekstiil
612645,linane,tekstiil
612645,metall,tekstiil
612646,labane toimne,tekstiil
612646,linane,tekstiil
612646,must pael,tekstiil
612646,puuvillane,tekstiil
612652,seeder,puit
612653,seeder,puit
612654,hõbe,metall
612658,hõbe,metall
612661,must pits,tekstiil
612661,puuvillane,tekstiil
612661,riie,tekstiil
612661,siid,tekstiil
612661,tumekollane,tekstiil
612662,atlasriie,tekstiil
612662,puuvillane,tekstiil
612662,siid,tekstiil
612663,atlasriie,tekstiil
612663,heegelpits,tekstiil
612663,pael,tekstiil
612663,puuvillane,tekstiil
612663,roosa,tekstiil
612663,siid,tekstiil
612663,värvel,tekstiil
612664,atlasriie,tekstiil
612664,pael,tekstiil
612664,puuvillane,tekstiil
612664,vooder,tekstiil
612665,seeder,puit
612666,lõng,tekstiil
612666,vill,tekstiil
