object_id,best_place,place_precision,country,region,rajon,village,lat,lon,has_coordinates,koht
524794,Handi-Mansi RR,küla,Venemaa,Handi-Mansi RR,Surguti rajoon,Handi-Mansi AR,,,False,Surguti rajoon; Handi-Mansi RR; Venemaa
525187,Handi-Mansi RR,küla,Venemaa,Handi-Mansi RR,Surguti rajoon,Handi-Mansi AR,,,False,Surguti rajoon; Handi-Mansi RR; Venemaa
526325,Ust-Vatsherga küla,küla,Venemaa,Komi ANSV,Udori rajoon,Ust-Vatsherga küla,1056.0,,False,Ust-Vatsherga küla; Udori rajoon; Komi Vabariik; Venemaa
526326,Ust-Vatsherga küla,küla,Venemaa,Komi ANSV,Udori rajoon,Ust-Vatsherga küla,1056.0,,False,Ust-Vatsherga küla; Udori rajoon; Komi Vabariik; Venemaa
526327,Udori rajoon,rajoon,Venemaa,Komi ANSV,Udori rajoon,,,,False,Udori rajoon; Komi Vabariik; Venemaa
526328,Jortom küla,küla,Venemaa,Komi ANSV,Udori rajoon,Jortom küla,1080.0,,False,Jortom küla; Udori rajoon; Komi Vabariik; Venemaa
526329,Jortom küla,küla,Venemaa,Komi ANSV,Udori rajoon,Jortom küla,1080.0,,False,Jortom küla; Udori rajoon; Komi Vabariik; Venemaa
526330,Jortom küla,küla,Venemaa,Komi ANSV,Udori rajoon,Jortom küla,1080.0,,False,Jortom küla; Udori rajoon; Komi Vabariik; Venemaa
526331,Jortom küla,küla,Venemaa,Komi ANSV,Udori rajoon,Jortom küla,1080.0,,False,Jortom küla; Udori rajoon; Komi Vabariik; Venemaa
526332,Jortom küla,küla,Venemaa,Komi ANSV,Udori rajoon,Jortom küla,1080.0,,False,Jortom küla; Udori rajoon; Komi Vabariik; Venemaa
526333,Jortom küla,küla,Venemaa,Komi ANSV,Udori rajoon,Jortom küla,1080.0,,False,Jortom küla; Udori rajoon; Komi Vabariik; Venemaa
526334,Jortom küla,küla,Venemaa,Komi ANSV,Udori rajoon,Jortom küla,1080.0,,False,Jortom küla; Udori rajoon; Komi Vabariik; Venemaa
526335,Pasma küla,küla,Venemaa,Komi ANSV,Udori rajoon,Pasma küla,1129.0,,False,Pasma küla; Udori rajoon; Komi Vabariik; Venemaa
